id,name,agency_name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,former_org_name,former_org_role,former_org_description,financial_disclosure_url,departed,story_text,story_block,source_url
469,William Austin Chatfield,Defense,"Defense Fellow, Washington Headquarters Services","Special Assistant, Office Of The Deputy Chief Management Officer",,"$161,900 ",3/7/17,,Bull Moose Pipeline LLC,compensation_source,Government/Public Relations,,,,,Warren Report Card
470,William Austin Chatfield,Defense,"Defense Fellow, Washington Headquarters Services","Special Assistant, Office Of The Deputy Chief Management Officer",,"$161,900 ",3/7/17,,Hover Energy LLC,compensation_source,Government/Public Relations,,,,,Warren Report Card
473,Daniel Elwell,Transportation,"Consultant, Office of the Under Secretary of Transportation for Policy",,,"$126,148-$189,600",1/30/17,,Navio Systems,compensation_source,Advice and counsel on aviation issues,,,Lobbied Transportation department for American Airlines and other aviation associations. ,,https://www.nytimes.com/interactive/2017/07/11/business/conflicts-trump-regulation-rollback-team.html
474,Daniel Elwell,Transportation,"Consultant, Office of the Under Secretary of Transportation for Policy",,,"$126,148-$189,600",1/30/17,,Elwell & Associates,compensation_source,Aviation consulting services,,,Lobbied Transportation department for American Airlines and other aviation associations. ,,https://www.nytimes.com/interactive/2017/07/11/business/conflicts-trump-regulation-rollback-team.html
475,Christine M. Ciccone,State,"Senior Advisor, Office of the Secretary","Deputy Chief Of Staff & Senior Advisor, Office Of The Secretary",,"$179,700 ",6/11/17,,The Democracy Fund,compensation_source,Consulting for a non-profit organization.,https://www.documentcloud.org/documents/4388188-Christine-M-Ciccone-Financial-Disclosure.html,,,,Warren Report Card
476,Timothy Clark,Health and Human Services,Senior Advisor to the Secretary,"White House Liaison for Political Personnel, Boards and Commissions",,"$179,700 ",1/20/17,3/4/17,Clark Strategy Group LLC,compensation_source,President and CEO.,https://www.documentcloud.org/documents/4387829-Timothy-Clark-Financial-Disclosure.html,,"Ran California political consulting firm, whose clients included the pharmaceutical industry trade group PhRMA.",,https://www.propublica.org/article/meet-hundreds-of-officials-trump-has-quietly-installed-across-government?utm_campaign=sprout&utm_medium=social&utm_source=twitter&utm_content=1509377436
477,Timothy Clark,Health and Human Services,Senior Advisor to the Secretary,"White House Liaison for Political Personnel, Boards and Commissions",,"$179,700 ",1/20/17,3/4/17,California State Senate,compensation_source,Chief of Staff,https://www.documentcloud.org/documents/4387829-Timothy-Clark-Financial-Disclosure.html,,"Ran California political consulting firm, whose clients included the pharmaceutical industry trade group PhRMA.",,https://www.propublica.org/article/meet-hundreds-of-officials-trump-has-quietly-installed-across-government?utm_campaign=sprout&utm_medium=social&utm_source=twitter&utm_content=1509377436
478,Timothy Clark,Health and Human Services,Senior Advisor to the Secretary,"White House Liaison for Political Personnel, Boards and Commissions",,"$179,700 ",1/20/17,3/4/17,Diane Harkey for Board of Equalization,compensation_source,political consulting/public affairs,https://www.documentcloud.org/documents/4387829-Timothy-Clark-Financial-Disclosure.html,,"Ran California political consulting firm, whose clients included the pharmaceutical industry trade group PhRMA.",,https://www.propublica.org/article/meet-hundreds-of-officials-trump-has-quietly-installed-across-government?utm_campaign=sprout&utm_medium=social&utm_source=twitter&utm_content=1509377436
490,Lynda C. Davis,Veterans Affairs,"Senior Advisor, Veteran Experience",Senior Advisor/ Chief Veteran Experience Officer,,"$168,000 ",1/20/17,,Tragedy Assistance Program for Survivors,compensation_source,Executive Vice President - oversight for program evaluation and development,https://www.documentcloud.org/documents/4388323-Lynda-C-Davis-Financial-Disclosure.html,,,,Warren Report Card
491,Lynda C. Davis,Veterans Affairs,"Senior Advisor, Veteran Experience",Senior Advisor/ Chief Veteran Experience Officer,,"$168,000 ",1/20/17,,The Carleton Group,compensation_source,President - senior consultant and advisor,https://www.documentcloud.org/documents/4388323-Lynda-C-Davis-Financial-Disclosure.html,,,,Warren Report Card
492,Rebeckah Adcock,Agriculture,Senior Advisor,"Senior Advisor, Office of the Secretary",,"$170,000 ",4/24/17,,CropLife America,compensation_source,Senior Director of Trade Assocation,https://www.documentcloud.org/documents/4345131-Adcock-Rebeckah.html,,"Rebecka Adcock was part of the deregulation team at the Department of Agriculture, which Trump created to remove regulations deemed cumbersome to industry. Adcock had previously lobbied the department for pesticide makers and farmers.",,https://www.nytimes.com/2017/07/11/business/the-deep-industry-ties-of-trumps-deregulation-teams.html
493,Eric D. Hargan,Health and Human Services,Senior Advisor to the Secretary,"Deputy Secretary, Health and Human Services",,,10/5/17,,TriHealth Inc.,compensation_source,Legal Services,https://www.documentcloud.org/documents/4387537-Eric-D-Hargan-Financial-Disclosure.html,,,,Warren Report Card
494,Sheila M. Greenwood,Housing and Urban Development,Chief of Staff,,,"$179,700 ",1/26/17,,first Data Corporation,compensation_source,"Consultant to SVP of Global Government Affairs; overseeing office structure, policy formation, and strategic goals.",https://www.documentcloud.org/documents/4387750-Sheila-M-Greenwood-Financial-Disclosure.html,,,,Warren Report Card
495,Sheila M. Greenwood,Housing and Urban Development,Chief of Staff,,,"$179,700 ",1/26/17,,Prudential Financial,compensation_source,VP for Regulatory Affairs.  Work on all Prudential interests before Federal agencies/regulators.,https://www.documentcloud.org/documents/4387750-Sheila-M-Greenwood-Financial-Disclosure.html,,,,Warren Report Card
496,Eric D. Hargan,Health and Human Services,Senior Advisor to the Secretary,"Deputy Secretary, Health and Human Services",,,10/5/17,,"Greenberg Traurig, LLP",compensation_source,Shareholder providing legal services,https://www.documentcloud.org/documents/4387537-Eric-D-Hargan-Financial-Disclosure.html,,,,Warren Report Card
497,Eric D. Hargan,Health and Human Services,Senior Advisor to the Secretary,"Deputy Secretary, Health and Human Services",,,10/5/17,,Loyola University Law School,compensation_source,Adjunct Professor,https://www.documentcloud.org/documents/4387537-Eric-D-Hargan-Financial-Disclosure.html,,,,Warren Report Card
539,John C. Kalavritinos,Health and Human Services,Special Assistant,Associate Commissioner for External Affairs,,"$179,700 ",1/24/17,,ACE Mentor Program of America,compensation_source,Served as CEO providing leadership and management to this non-profit organization.,https://www.documentcloud.org/documents/4387853-John-C-Kalavritinos-Financial-Disclosure.html,,Lobbied for the pharmaceutical company Covidien.,,Warren Report Card
540,John C. Kalavritinos,Health and Human Services,Special Assistant,Associate Commissioner for External Affairs,,"$179,700 ",1/24/17,,Covidien,compensation_source,"Director of Govnt affairs, representing the company on matters related to its healthcare business in Washington and providing advice to company leaders and managers.",https://www.documentcloud.org/documents/4387853-John-C-Kalavritinos-Financial-Disclosure.html,,Lobbied for the pharmaceutical company Covidien.,,Warren Report Card
541,Maren M. Kasper,Housing and Urban Development,Senior White House Advisor,"Executive Vice President (Policy), Government National Mortgage Association",,"$175,000 ",1/20/17,,"Roofstock, Inc.",compensation_source,Director,https://www.documentcloud.org/documents/4388424-Maren-M-Kasper-Financial-Disclosure.html,,"Has an ownership stake in Roofstock, an online marketplace for investors in single-family rental properties. The Department of Housing and Urban Development (HUD), where Kasper now works, can affect investor interest in rental homes, as it oversees the federal subsidies program for low-income renters.",TRUE,https://www.nytimes.com/2017/07/11/business/the-deep-industry-ties-of-trumps-deregulation-teams.html
542,Maren M. Kasper,Housing and Urban Development,Senior White House Advisor,"Executive Vice President (Policy), Government National Mortgage Association",,"$175,000 ",1/20/17,,B2R Finance,compensation_source,Investment Associate,https://www.documentcloud.org/documents/4388424-Maren-M-Kasper-Financial-Disclosure.html,,"Has an ownership stake in Roofstock, an online marketplace for investors in single-family rental properties. The Department of Housing and Urban Development (HUD), where Kasper now works, can affect investor interest in rental homes, as it oversees the federal subsidies program for low-income renters.",TRUE,https://www.nytimes.com/2017/07/11/business/the-deep-industry-ties-of-trumps-deregulation-teams.html
543,Maren M. Kasper,Housing and Urban Development,Senior White House Advisor,"Executive Vice President (Policy), Government National Mortgage Association",,"$175,000 ",1/20/17,,Wells Fargo & Company,compensation_source,Associate,https://www.documentcloud.org/documents/4388424-Maren-M-Kasper-Financial-Disclosure.html,,"Has an ownership stake in Roofstock, an online marketplace for investors in single-family rental properties. The Department of Housing and Urban Development (HUD), where Kasper now works, can affect investor interest in rental homes, as it oversees the federal subsidies program for low-income renters.",TRUE,https://www.nytimes.com/2017/07/11/business/the-deep-industry-ties-of-trumps-deregulation-teams.html
544,Lance Leggitt,White House Office,Deputy Assistant to the President for Domestic Policy,,,,2/9/18,,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",compensation_source,Law Firm Partner and Chair of Federal Health Policy Group,https://www.documentcloud.org/documents/4387858-Lance-Leggitt-Financial-Disclosure.html,,Lobbied for medical supply companies. Has received a waiver to work on issues he had lobbied for.,,Warren Report Card
545,Lance Leggitt,White House Office,Deputy Assistant to the President for Domestic Policy,,,,2/9/18,,Acelity LP Inc,compensation_source,client of BDBC&B,https://www.documentcloud.org/documents/4387858-Lance-Leggitt-Financial-Disclosure.html,,Lobbied for medical supply companies. Has received a waiver to work on issues he had lobbied for.,,Warren Report Card
546,Lance Leggitt,White House Office,Deputy Assistant to the President for Domestic Policy,,,,2/9/18,,Advanced Infusion Solutions/Bond Pharmacy Inc.,compensation_source,client of BDBC&B,https://www.documentcloud.org/documents/4387858-Lance-Leggitt-Financial-Disclosure.html,,Lobbied for medical supply companies. Has received a waiver to work on issues he had lobbied for.,,Warren Report Card
585,Keagan Resler Lenihan,Health and Human Services,Senior Advisor to the Secretary,Senior Counselor to the Secretary,,"$179,700 ",1/23/17,,McKesson Specialty Health,compensation_source,Senior Director of Governmental Affairs,https://www.documentcloud.org/documents/4387866-Keagan-Resler-Lenihan-Financial-Disclosure.html,,Formerly lobbied HHS for McKesson Specialty Health. ,,https://www.propublica.org/article/meet-hundreds-of-officials-trump-has-quietly-installed-across-government?utm_campaign=sprout&utm_medium=social&utm_source=twitter&utm_content=1509377437
586,Rebecca Kathleen Wood,Health and Human Services,Chief Legal Counsel FDA,,,"$179,700 ",7/9/17,,Norfolk Southern Corp.,compensation_source,Legal services,https://www.documentcloud.org/documents/4387837-Rebecca-Kathleen-Wood-Financial-Disclosure.html,,,,Warren Report Card
587,Nancy Beck,Environmental Protection Agency,Deputy Assistant Administrator for Chemical Safety and Pollution Prevention,,,"$134,789-$164,200*",4/30/17,,American Chemistry Council,compensation_source,Senior Director for Regulatory Science Policy. Worked on advancing approaches to improve chemical risk assessment including comments to Federal Agencies on existing approaches.,https://www.documentcloud.org/documents/4387728-Nancy-Beck-Financial-Disclosure.html,,"Worked at American Chemistry Council, whose members chemical and energy giants such as Dow and Exxon Mobil.",,Warren Report Card
588,Elizabeth Bennett,Environmental Protection Agency,Senior Advisor for OCIR,Deputy Associate Administratior for Congressional and Intergovernmental Relations,,"$161,900 ",,,National Rural Electric Cooperative Association,compensation_source,Senior Principal for Legislative Affairs,https://www.documentcloud.org/documents/4388390-Elizabeth-Bennett-Financial-Disclosure.html,,"Formerly lobbied the EPA for National Rural Electric Cooperative Association, which opposes many EPA regulations.",,Warren Report Card
589,Susan Bodine,Environmental Protection Agency,Senior Advisor to the Administrator,,,"$155,500 ",8/13/17,,Barnes & Thornburg LLP,compensation_source,Partner at this law firm.,https://www.documentcloud.org/documents/4387730-Susan-Bodine-Financial-Disclosure.html,,,,Warren Report Card
